trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.88991802815825,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,12,-43.020184416027966,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,14,11.242361193060777,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-133.86375946302968,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-160.24049612113996,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-156.11581668604495,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-52.83224750769639,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-157.7007441074054,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-92.08743887489884,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-49.55056490349656,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-88.41824857202647,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-15.610723677215038,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-69.2807577186392,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-72.79267319969385,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,15,-10.74095987739465,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,11,-7.366148547878199,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,11,-1.3859209487854065,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,18,11.640569462430165,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,11,-7.910663298885686,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-32.405125753957954,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",35,0,-90.10682327421645,"{0: 30, 1: 2, 2: 0, 3: 0, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-7.435590674623818,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-43.08287037496188,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,11,16.933407425241434,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,12,-15.822270778710172,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,9,-21.93835571130635,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-26.8479538128603,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,10,19.81803922527451,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,8,20.052180499405207,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-115.67784472474551,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 3}",0
