trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-42.042395524492804,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.990025}",20,0,-31.54728023660398,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",25,0,-220.28040827231845,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.980149500625}",25,0,-89.48033753923538,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.975248753121875}",20,0,-99.92593039778413,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562656}",25,0,-163.52291568826936,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094842}",20,0,-59.46203381124719,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9606930435754368}",25,0,-71.62615916478653,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575596}",25,0,-100.41546294168849,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",25,0,-143.76007714951487,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",20,0,-33.49463440707923,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",30,0,-151.61567487704812,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",20,0,-135.9844743944834,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",35,0,-190.15834583931863,"{0: 20, 1: 2, 2: 8, 3: 4, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",25,0,-104.12677796489034,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",20,0,-97.08279613660515,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",25,0,-122.10535233284159,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",25,10,-37.28958139657295,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.9091562615825302}",20,0,-40.710229188697795,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
