trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,1,-94.52096074970206,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-152.381411247517,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-66.18229869683057,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-94.15593976121221,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-185.76023160231725,"{0: 6, 1: 4, 2: 5, 3: 4, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-121.98468470690672,"{0: 7, 1: 4, 2: 7, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-81.32904640020216,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,3,-37.10610592010471,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-243.5474468598615,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-74.24595307622202,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-136.0453316940067,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-139.17652636919576,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-239.1722113865249,"{0: 12, 1: 7, 2: 6, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-197.13976061182643,"{0: 13, 1: 6, 2: 2, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-206.3833749981687,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,1,-13.664488364988737,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-36.85408185505186,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-61.4801080275032,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-110.73372290683649,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-139.66986328778674,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-109.13849364768357,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-139.39554900624168,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-150.51959806450938,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-169.30908804775186,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-145.42889025419598,"{0: 8, 1: 3, 2: 14, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-202.2944885024039,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,1,-129.10657113433862,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 2}",1
8,True,"{'a': 0.0, 'e': 0.0}",35,0,-186.66236786743218,"{0: 23, 1: 0, 2: 5, 3: 6, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-101.76560072908819,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-149.0166637682646,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
